id,reference,currentStage,edition,publicationDate
2,ISO/WD 0,2098,1,
3,ISO/R 102:1959,9599,1,1959-01-01
4,ISO/R 115:1959,9599,1,1959-01-01
5,ISO/R 44:1957,9599,1,1957-01-01
6,ISO/R 62:1958/Amd 1,9599,1,1958-01-01
7,ISO/WD 0-1,2098,1,
8,ISO/R 97:1958,9599,1,1958-01-01
9,ISO/WD 0,2098,1,
10,ISO/WD 0,2098,1,
11,ISO/WD 0-1,2098,1,
12,ISO/WD 0,2098,1,
13,ISO/R 97:1959,9599,1,1959-01-01
14,ISO/R 1:1951,9599,1,1951-01-01
15,ISO/WD 0,2098,1,
16,ISO/R 100:1959,9599,1,1959-01-01
17,ISO/R 104:1959,9599,1,1959-01-01
18,ISO/WD 0,2098,1,
19,ISO/WD 0,2098,1,
20,ISO/R 105:1959,9599,1,1959-01-01
21,ISO/R 108:1959,9599,1,1959-01-01
22,ISO/R 11:1954,9599,1,1954-01-01
23,ISO/R 110:1959,9599,1,1959-01-01
24,ISO/R 111:1959,9599,1,1959-01-01
25,ISO/WD 0,2098,1,
26,ISO/WD 0,2098,1,
27,ISO/WD 0,2098,1,
28,ISO/CD 10800,3098,1,
29,ISO/WD 0-1,2098,1,
30,ISO/R 112:1959,9599,1,1959-01-01
31,ISO/R 114:1959,9599,1,1959-01-01
32,ISO/R 1140:1969,9599,1,1969-01-01
33,ISO/WD 0,2098,1,
34,ISO/R 118:1959,9599,1,1959-01-01
35,ISO/WD 0-1,2098,1,
36,ISO/WD 0,2098,1,
37,ISO/R 119:1958,9599,1,1958-01-01
38,ISO/R 12:1955,9599,1,1955-01-01
39,ISO/R 120:1959,9599,1,1959-01-01
40,ISO/R 121:1959,9599,1,1959-01-01
41,ISO/R 126:1959,9599,1,1959-01-01
42,ISO/WD 0,2098,1,
43,ISO/R 127:1959,9599,1,1959-01-01
44,ISO/R 13:1955,9599,1,1955-01-01
45,ISO/WD 0,2098,1,
46,ISO/R 131:1959,9599,1,1959-01-01
47,ISO/R 132:1959,9599,1,1959-01-01
48,ISO/WD 0,2098,1,
49,ISO/R 136:1959,9599,1,1959-01-01
50,ISO/R 14:1955,9599,1,1955-01-01
51,ISO/R 16:1955,9599,1,1955-01-01
52,ISO/R 17:1955,9599,1,1955-01-01
53,ISO/R 18:1955,9599,1,1955-01-01
54,ISO/R 2:1951,9599,1,1951-01-01
55,ISO/WD 0,2098,1,
56,ISO/R 21:1956,9599,1,1956-01-01
57,ISO/R 22:1956,9599,1,1956-01-01
58,ISO/R 23:1956,9599,1,1956-01-01
59,ISO/R 26:1956,9599,1,1956-01-01
60,ISO/R 29:1956,9599,1,1956-01-01
61,ISO/R 3:1953,9599,1,1953-01-01
62,ISO/R 31-2:1958,9599,1,1958-01-01
63,ISO/WD 0,2098,1,
64,ISO/R 31-5:1965,9599,1,1965-01-01
65,ISO/R 32:1957,9599,1,1957-01-01
66,ISO/R 34:1957,9599,1,1957-01-01
67,ISO/R 348:1963,9599,1,1963-01-01
